household_id,case,year,month,elec_units,water_units
case3_0002,upcountry_normal,2024,8,359.2,5.9
case3_0002,upcountry_normal,2024,9,365.9,5.3
case3_0002,upcountry_normal,2024,10,281.3,5.5
case3_0002,upcountry_normal,2024,11,179.0,5.4
case3_0002,upcountry_normal,2024,12,181.7,5.2
case3_0002,upcountry_normal,2025,1,225.1,5.4
case3_0002,upcountry_normal,2025,2,213.2,4.4
case3_0002,upcountry_normal,2025,3,321.7,4.9
case3_0002,upcountry_normal,2025,4,501.5,5.8
case3_0002,upcountry_normal,2025,5,413.4,5.0
case3_0002,upcountry_normal,2025,6,433.0,6.0
case3_0002,upcountry_normal,2025,7,343.6,6.2
case3_0002,upcountry_normal,2025,8,389.3,5.8
case3_0002,upcountry_normal,2025,9,354.5,5.6
case3_0002,upcountry_normal,2025,10,271.3,5.1
case3_0002,upcountry_normal,2025,11,191.3,4.1
case3_0002,upcountry_normal,2025,12,206.6,4.1
case3_0002,upcountry_normal,2026,1,203.3,4.3
case3_0002,upcountry_normal,2026,2,198.8,4.5
case3_0002,upcountry_normal,2026,3,300.0,4.9
case3_0002,upcountry_normal,2026,4,503.5,5.6
case3_0002,upcountry_normal,2026,5,373.5,4.8
case3_0002,upcountry_normal,2026,6,389.0,4.7
case3_0002,upcountry_normal,2026,7,475.1,5.1
case3_0002,upcountry_normal,2026,8,357.0,5.5
case3_0003,upcountry_normal,2024,3,529.3,5.9
case3_0003,upcountry_normal,2024,4,637.7,5.7
case3_0003,upcountry_normal,2024,5,611.8,6.3
case3_0003,upcountry_normal,2024,6,561.1,5.6
case3_0003,upcountry_normal,2024,7,548.8,6.2
case3_0003,upcountry_normal,2024,8,511.9,6.1
case3_0003,upcountry_normal,2024,9,432.4,5.9
case3_0003,upcountry_normal,2024,10,499.8,5.4
case3_0003,upcountry_normal,2024,11,371.7,4.8
case3_0003,upcountry_normal,2024,12,340.4,4.9
case3_0003,upcountry_normal,2025,1,389.5,3.8
case3_0003,upcountry_normal,2025,2,351.9,5.0
case3_0003,upcountry_normal,2025,3,504.9,5.5
case3_0003,upcountry_normal,2025,4,520.6,6.2
case3_0003,upcountry_normal,2025,5,523.1,5.5
case3_0003,upcountry_normal,2025,6,593.9,5.9
case3_0003,upcountry_normal,2025,7,614.6,5.5
case3_0003,upcountry_normal,2025,8,620.3,6.4
case3_0003,upcountry_normal,2025,9,581.8,5.1
case3_0003,upcountry_normal,2025,10,542.0,5.9
case3_0003,upcountry_normal,2025,11,339.0,4.7
case3_0003,upcountry_normal,2025,12,293.3,5.0
case3_0003,upcountry_normal,2026,1,248.2,4.8
case3_0003,upcountry_normal,2026,2,311.0,4.4
case3_0003,upcountry_normal,2026,3,435.6,4.3
case3_0003,upcountry_normal,2026,4,649.1,6.1
case3_0003,upcountry_normal,2026,5,562.6,5.0
case3_0003,upcountry_normal,2026,6,613.2,5.3
case3_0003,upcountry_normal,2026,7,458.6,6.3
case3_0003,upcountry_normal,2026,8,551.8,6.5
case3_0004,upcountry_normal,2024,3,418.6,9.9
case3_0004,upcountry_normal,2024,4,605.0,9.5
case3_0004,upcountry_normal,2024,5,531.8,10.0
case3_0004,upcountry_normal,2024,6,601.9,11.1
case3_0004,upcountry_normal,2024,7,543.8,9.1
case3_0004,upcountry_normal,2024,8,509.3,9.2
case3_0004,upcountry_normal,2024,9,459.5,10.3
case3_0004,upcountry_normal,2024,10,348.1,9.0
case3_0004,upcountry_normal,2024,11,218.6,7.9
case3_0004,upcountry_normal,2024,12,217.8,6.4
case3_0004,upcountry_normal,2025,1,269.1,8.7
case3_0004,upcountry_normal,2025,2,257.2,8.1
case3_0004,upcountry_normal,2025,3,452.1,7.9
case3_0004,upcountry_normal,2025,4,643.6,10.4
case3_0004,upcountry_normal,2025,5,612.7,9.5
case3_0004,upcountry_normal,2025,6,647.3,9.4
case3_0004,upcountry_normal,2025,7,591.1,8.8
case3_0004,upcountry_normal,2025,8,526.2,9.7
case3_0004,upcountry_normal,2025,9,479.2,9.7
case3_0004,upcountry_normal,2025,10,462.8,8.5
case3_0004,upcountry_normal,2025,11,221.4,7.8
case3_0004,upcountry_normal,2025,12,275.6,9.0
case3_0004,upcountry_normal,2026,1,247.8,8.3
case3_0004,upcountry_normal,2026,2,263.7,7.6
case3_0004,upcountry_normal,2026,3,430.0,9.8
case3_0004,upcountry_normal,2026,4,617.8,9.3
case3_0004,upcountry_normal,2026,5,574.9,9.4
case3_0004,upcountry_normal,2026,6,364.5,8.1
case3_0004,upcountry_normal,2026,7,416.8,8.0
case3_0004,upcountry_normal,2026,8,427.7,8.1
case3_0005,upcountry_normal,2024,3,349.4,24.7
case3_0005,upcountry_normal,2024,4,516.4,26.6
case3_0005,upcountry_normal,2024,5,472.1,25.6
case3_0005,upcountry_normal,2024,6,479.3,27.3
case3_0005,upcountry_normal,2024,7,405.1,27.2
case3_0005,upcountry_normal,2024,8,412.4,23.5
case3_0005,upcountry_normal,2024,9,383.9,28.7
case3_0005,upcountry_normal,2024,10,351.1,26.1
case3_0005,upcountry_normal,2024,11,304.4,19.9
case3_0005,upcountry_normal,2024,12,270.4,23.5
case3_0005,upcountry_normal,2025,1,286.6,20.9
case3_0005,upcountry_normal,2025,2,284.0,25.7
case3_0005,upcountry_normal,2025,3,334.5,29.1
case3_0005,upcountry_normal,2025,4,501.4,30.2
case3_0005,upcountry_normal,2025,5,526.9,33.6
case3_0005,upcountry_normal,2025,6,403.8,26.1
case3_0005,upcountry_normal,2025,7,388.1,26.5
case3_0005,upcountry_normal,2025,8,538.6,24.9
case3_0005,upcountry_normal,2025,9,434.5,22.5
case3_0005,upcountry_normal,2025,10,350.5,20.3
case3_0005,upcountry_normal,2025,11,250.3,23.0
case3_0005,upcountry_normal,2025,12,230.5,21.5
case3_0005,upcountry_normal,2026,1,247.6,19.5
case3_0005,upcountry_normal,2026,2,255.9,19.8
case3_0005,upcountry_normal,2026,3,370.6,30.4
case3_0005,upcountry_normal,2026,4,571.3,28.5
case3_0005,upcountry_normal,2026,5,583.5,24.7
case3_0005,upcountry_normal,2026,6,539.4,24.4
case3_0005,upcountry_normal,2026,7,433.5,27.3
case3_0005,upcountry_normal,2026,8,400.0,24.8
case3_0006,upcountry_normal,2024,3,202.2,8.4
case3_0006,upcountry_normal,2024,4,228.4,9.3
case3_0006,upcountry_normal,2024,5,261.5,7.5
case3_0006,upcountry_normal,2024,6,232.7,9.7
case3_0006,upcountry_normal,2024,7,224.3,8.9
case3_0006,upcountry_normal,2024,8,159.6,9.5
case3_0006,upcountry_normal,2024,9,212.9,9.4
case3_0006,upcountry_normal,2024,10,231.7,8.2
case3_0006,upcountry_normal,2024,11,181.5,8.0
case3_0006,upcountry_normal,2024,12,194.0,6.7
case3_0006,upcountry_normal,2025,1,169.8,6.9
case3_0006,upcountry_normal,2025,2,187.5,8.6
case3_0006,upcountry_normal,2025,3,219.1,8.2
case3_0006,upcountry_normal,2025,4,188.5,9.8
case3_0006,upcountry_normal,2025,5,242.1,9.5
case3_0006,upcountry_normal,2025,6,259.4,8.5
case3_0006,upcountry_normal,2025,7,229.8,10.1
case3_0006,upcountry_normal,2025,8,198.3,9.1
case3_0006,upcountry_normal,2025,9,208.8,9.4
case3_0006,upcountry_normal,2025,10,202.1,10.3
case3_0006,upcountry_normal,2025,11,201.5,7.1
case3_0006,upcountry_normal,2025,12,189.8,7.4
case3_0006,upcountry_normal,2026,1,184.9,8.2
case3_0006,upcountry_normal,2026,2,203.5,7.8
case3_0006,upcountry_normal,2026,3,229.9,9.5
case3_0006,upcountry_normal,2026,4,244.0,10.3
case3_0006,upcountry_normal,2026,5,218.7,9.7
case3_0006,upcountry_normal,2026,6,207.1,9.7
case3_0006,upcountry_normal,2026,7,202.7,8.4
case3_0006,upcountry_normal,2026,8,196.1,7.3
case3_0007,upcountry_normal,2024,3,131.6,6.4
case3_0007,upcountry_normal,2024,4,132.0,6.6
case3_0007,upcountry_normal,2024,5,120.6,6.0
case3_0007,upcountry_normal,2024,6,167.5,6.8
case3_0007,upcountry_normal,2024,7,158.1,7.3
case3_0007,upcountry_normal,2024,8,160.2,7.0
case3_0007,upcountry_normal,2024,9,132.7,6.8
case3_0007,upcountry_normal,2024,10,158.0,5.4
case3_0007,upcountry_normal,2024,11,112.9,5.5
case3_0007,upcountry_normal,2024,12,121.4,6.3
case3_0007,upcountry_normal,2025,1,118.6,6.3
case3_0007,upcountry_normal,2025,2,135.2,5.7
case3_0007,upcountry_normal,2025,3,160.0,6.7
case3_0007,upcountry_normal,2025,4,181.5,6.6
case3_0007,upcountry_normal,2025,5,180.5,6.2
case3_0007,upcountry_normal,2025,6,181.7,6.5
case3_0007,upcountry_normal,2025,7,180.5,6.5
case3_0007,upcountry_normal,2025,8,189.5,5.8
case3_0007,upcountry_normal,2025,9,192.6,5.7
case3_0007,upcountry_normal,2025,10,166.4,6.2
case3_0007,upcountry_normal,2025,11,146.9,5.0
case3_0007,upcountry_normal,2025,12,150.1,5.2
case3_0007,upcountry_normal,2026,1,153.7,5.3
case3_0007,upcountry_normal,2026,2,147.3,5.6
case3_0007,upcountry_normal,2026,3,174.3,5.8
case3_0007,upcountry_normal,2026,4,192.3,6.4
case3_0007,upcountry_normal,2026,5,196.5,6.8
case3_0007,upcountry_normal,2026,6,170.4,5.9
case3_0007,upcountry_normal,2026,7,174.0,5.4
case3_0007,upcountry_normal,2026,8,159.6,4.8
case3_0008,upcountry_normal,2024,3,314.1,15.4
case3_0008,upcountry_normal,2024,4,400.6,14.8
case3_0008,upcountry_normal,2024,5,402.2,15.3
case3_0008,upcountry_normal,2024,6,388.4,15.2
case3_0008,upcountry_normal,2024,7,385.2,17.6
case3_0008,upcountry_normal,2024,8,426.8,19.0
case3_0008,upcountry_normal,2024,9,331.2,19.0
case3_0008,upcountry_normal,2024,10,304.6,12.7
case3_0008,upcountry_normal,2024,11,200.1,13.1
case3_0008,upcountry_normal,2024,12,203.7,12.0
case3_0008,upcountry_normal,2025,1,214.5,13.2
case3_0008,upcountry_normal,2025,2,232.7,13.2
case3_0008,upcountry_normal,2025,3,348.3,13.0
case3_0008,upcountry_normal,2025,4,472.9,14.6
case3_0008,upcountry_normal,2025,5,471.1,17.3
case3_0008,upcountry_normal,2025,6,435.3,16.7
case3_0008,upcountry_normal,2025,7,389.2,15.7
case3_0008,upcountry_normal,2025,8,377.9,16.4
case3_0008,upcountry_normal,2025,9,365.5,14.7
case3_0008,upcountry_normal,2025,10,275.1,16.2
case3_0008,upcountry_normal,2025,11,225.8,14.1
case3_0008,upcountry_normal,2025,12,225.7,15.8
case3_0008,upcountry_normal,2026,1,237.0,12.3
case3_0008,upcountry_normal,2026,2,230.9,14.4
case3_0008,upcountry_normal,2026,3,233.9,15.7
case3_0008,upcountry_normal,2026,4,322.5,15.7
case3_0008,upcountry_normal,2026,5,330.3,15.6
case3_0008,upcountry_normal,2026,6,285.5,17.2
case3_0008,upcountry_normal,2026,7,332.7,18.3
case3_0008,upcountry_normal,2026,8,268.6,16.9
case3_0009,upcountry_normal,2024,3,190.7,9.3
case3_0009,upcountry_normal,2024,4,256.5,9.4
case3_0009,upcountry_normal,2024,5,242.7,9.4
case3_0009,upcountry_normal,2024,6,252.5,9.5
case3_0009,upcountry_normal,2024,7,215.0,9.0
case3_0009,upcountry_normal,2024,8,216.7,8.1
case3_0009,upcountry_normal,2024,9,204.9,8.0
case3_0009,upcountry_normal,2024,10,216.6,8.8
case3_0009,upcountry_normal,2024,11,190.3,7.9
case3_0009,upcountry_normal,2024,12,210.1,7.0
case3_0009,upcountry_normal,2025,1,192.6,7.1
case3_0009,upcountry_normal,2025,2,178.1,8.0
case3_0009,upcountry_normal,2025,3,182.3,8.7
case3_0009,upcountry_normal,2025,4,203.2,8.8
case3_0009,upcountry_normal,2025,5,227.5,8.1
case3_0009,upcountry_normal,2025,6,207.5,8.9
case3_0009,upcountry_normal,2025,7,210.4,10.2
case3_0009,upcountry_normal,2025,8,221.9,9.0
case3_0009,upcountry_normal,2025,9,231.4,8.0
case3_0009,upcountry_normal,2025,10,185.6,7.4
case3_0009,upcountry_normal,2025,11,172.3,8.0
case3_0009,upcountry_normal,2025,12,157.1,6.3
case3_0009,upcountry_normal,2026,1,175.4,6.8
case3_0009,upcountry_normal,2026,2,177.2,7.2
case3_0009,upcountry_normal,2026,3,202.1,7.8
case3_0009,upcountry_normal,2026,4,195.0,10.8
case3_0009,upcountry_normal,2026,5,199.9,9.7
case3_0009,upcountry_normal,2026,6,174.8,9.2
case3_0009,upcountry_normal,2026,7,209.6,9.6
case3_0009,upcountry_normal,2026,8,196.0,8.8
case3_0010,upcountry_normal,2024,3,392.8,9.6
case3_0010,upcountry_normal,2024,4,467.2,10.6
case3_0010,upcountry_normal,2024,5,528.8,9.6
case3_0010,upcountry_normal,2024,6,441.8,10.1
case3_0010,upcountry_normal,2024,7,443.0,10.4
case3_0010,upcountry_normal,2024,8,430.2,9.6
case3_0010,upcountry_normal,2024,9,426.0,9.4
case3_0010,upcountry_normal,2024,10,459.6,9.3
case3_0010,upcountry_normal,2024,11,301.0,12.6
case3_0010,upcountry_normal,2024,12,303.0,13.4
case3_0010,upcountry_normal,2025,1,335.0,11.4
case3_0010,upcountry_normal,2025,2,314.2,12.8
case3_0010,upcountry_normal,2025,3,368.4,13.4
case3_0010,upcountry_normal,2025,4,447.2,13.2
case3_0010,upcountry_normal,2025,5,499.5,13.5
case3_0010,upcountry_normal,2025,6,403.1,12.9
case3_0010,upcountry_normal,2025,7,482.2,12.5
case3_0010,upcountry_normal,2025,8,495.1,11.4
case3_0010,upcountry_normal,2025,9,423.1,12.8
case3_0010,upcountry_normal,2025,10,385.9,10.9
case3_0010,upcountry_normal,2025,11,310.7,10.4
case3_0010,upcountry_normal,2025,12,288.7,11.8
case3_0010,upcountry_normal,2026,1,299.2,13.6
case3_0010,upcountry_normal,2026,2,237.0,12.1
case3_0010,upcountry_normal,2026,3,294.9,13.2
case3_0010,upcountry_normal,2026,4,386.7,15.4
case3_0010,upcountry_normal,2026,5,389.4,14.2
case3_0010,upcountry_normal,2026,6,426.6,15.6
case3_0010,upcountry_normal,2026,7,414.5,11.3
case3_0010,upcountry_normal,2026,8,421.0,13.1
case3_0011,upcountry_normal,2024,3,279.3,11.0
case3_0011,upcountry_normal,2024,4,356.6,12.4
case3_0011,upcountry_normal,2024,5,330.3,12.3
case3_0011,upcountry_normal,2024,6,330.8,12.9
case3_0011,upcountry_normal,2024,7,308.0,12.2
case3_0011,upcountry_normal,2024,8,282.7,12.5
case3_0011,upcountry_normal,2024,9,250.5,10.7
case3_0011,upcountry_normal,2024,10,273.9,10.0
case3_0011,upcountry_normal,2024,11,208.5,10.6
case3_0011,upcountry_normal,2024,12,186.5,10.6
case3_0011,upcountry_normal,2025,1,180.9,9.9
case3_0011,upcountry_normal,2025,2,204.1,10.7
case3_0011,upcountry_normal,2025,3,252.8,12.2
case3_0011,upcountry_normal,2025,4,340.9,14.4
case3_0011,upcountry_normal,2025,5,365.2,13.8
case3_0011,upcountry_normal,2025,6,424.2,12.1
case3_0011,upcountry_normal,2025,7,349.0,12.4
case3_0011,upcountry_normal,2025,8,352.2,13.4
case3_0011,upcountry_normal,2025,9,260.8,13.0
case3_0011,upcountry_normal,2025,10,240.8,11.3
case3_0011,upcountry_normal,2025,11,206.2,11.6
case3_0011,upcountry_normal,2025,12,215.5,10.2
case3_0011,upcountry_normal,2026,1,179.9,10.3
case3_0011,upcountry_normal,2026,2,218.1,8.7
case3_0011,upcountry_normal,2026,3,289.7,11.2
case3_0011,upcountry_normal,2026,4,353.7,13.2
case3_0011,upcountry_normal,2026,5,290.2,12.6
case3_0011,upcountry_normal,2026,6,256.6,12.5
case3_0011,upcountry_normal,2026,7,275.4,11.5
case3_0011,upcountry_normal,2026,8,255.3,12.4
case3_0012,upcountry_normal,2024,3,176.1,11.8
case3_0012,upcountry_normal,2024,4,187.8,14.5
case3_0012,upcountry_normal,2024,5,178.7,15.2
case3_0012,upcountry_normal,2024,6,153.1,15.1
case3_0012,upcountry_normal,2024,7,193.9,12.9
case3_0012,upcountry_normal,2024,8,214.4,13.2
case3_0012,upcountry_normal,2024,9,188.1,13.3
case3_0012,upcountry_normal,2024,10,161.7,16.4
case3_0012,upcountry_normal,2024,11,160.7,13.5
case3_0012,upcountry_normal,2024,12,112.2,12.1
case3_0012,upcountry_normal,2025,1,128.9,13.2
case3_0012,upcountry_normal,2025,2,145.9,12.1
case3_0012,upcountry_normal,2025,3,147.5,13.4
case3_0012,upcountry_normal,2025,4,154.9,17.0
case3_0012,upcountry_normal,2025,5,121.0,17.0
case3_0012,upcountry_normal,2025,6,130.3,15.6
case3_0012,upcountry_normal,2025,7,120.2,13.7
case3_0012,upcountry_normal,2025,8,152.6,10.2
case3_0012,upcountry_normal,2025,9,139.4,12.9
case3_0012,upcountry_normal,2025,10,130.4,12.0
case3_0012,upcountry_normal,2025,11,131.1,13.0
case3_0012,upcountry_normal,2025,12,139.1,13.8
case3_0012,upcountry_normal,2026,1,136.7,11.4
case3_0012,upcountry_normal,2026,2,120.7,10.6
case3_0012,upcountry_normal,2026,3,136.8,12.7
case3_0012,upcountry_normal,2026,4,150.2,15.1
case3_0012,upcountry_normal,2026,5,139.4,16.3
case3_0012,upcountry_normal,2026,6,147.7,13.5
case3_0012,upcountry_normal,2026,7,131.3,11.5
case3_0012,upcountry_normal,2026,8,141.1,13.1
case3_0013,upcountry_normal,2024,3,333.6,6.4
case3_0013,upcountry_normal,2024,4,371.4,7.4
case3_0013,upcountry_normal,2024,5,374.2,7.4
case3_0013,upcountry_normal,2024,6,378.8,8.0
case3_0013,upcountry_normal,2024,7,341.8,7.0
case3_0013,upcountry_normal,2024,8,278.8,6.4
case3_0013,upcountry_normal,2024,9,271.4,9.0
case3_0013,upcountry_normal,2024,10,275.3,8.0
case3_0013,upcountry_normal,2024,11,201.6,7.4
case3_0013,upcountry_normal,2024,12,197.7,6.9
case3_0013,upcountry_normal,2025,1,214.3,6.8
case3_0013,upcountry_normal,2025,2,208.4,7.1
case3_0013,upcountry_normal,2025,3,308.9,7.7
case3_0013,upcountry_normal,2025,4,388.3,8.1
case3_0013,upcountry_normal,2025,5,276.0,7.8
case3_0013,upcountry_normal,2025,6,336.5,8.9
case3_0013,upcountry_normal,2025,7,233.7,7.6
case3_0013,upcountry_normal,2025,8,233.7,8.2
case3_0013,upcountry_normal,2025,9,262.9,7.8
case3_0013,upcountry_normal,2025,10,230.1,7.3
case3_0013,upcountry_normal,2025,11,178.2,7.3
case3_0013,upcountry_normal,2025,12,165.2,6.7
case3_0013,upcountry_normal,2026,1,177.9,5.5
case3_0013,upcountry_normal,2026,2,188.8,7.0
case3_0013,upcountry_normal,2026,3,247.9,7.9
case3_0013,upcountry_normal,2026,4,269.5,8.9
case3_0013,upcountry_normal,2026,5,313.1,9.4
case3_0013,upcountry_normal,2026,6,269.8,8.5
case3_0013,upcountry_normal,2026,7,295.6,9.3
case3_0013,upcountry_normal,2026,8,258.0,8.2
case3_0014,upcountry_normal,2024,3,393.1,8.7
case3_0014,upcountry_normal,2024,4,498.6,9.5
case3_0014,upcountry_normal,2024,5,432.5,10.5
case3_0014,upcountry_normal,2024,6,414.6,10.2
case3_0014,upcountry_normal,2024,7,441.4,8.4
case3_0014,upcountry_normal,2024,8,363.3,7.5
case3_0014,upcountry_normal,2024,9,399.3,7.8
case3_0014,upcountry_normal,2024,10,405.3,7.8
case3_0014,upcountry_normal,2024,11,260.0,6.7
case3_0014,upcountry_normal,2024,12,257.4,8.0
case3_0014,upcountry_normal,2025,1,239.2,7.7
case3_0014,upcountry_normal,2025,2,261.5,8.3
case3_0014,upcountry_normal,2025,3,393.5,9.5
case3_0014,upcountry_normal,2025,4,487.4,8.9
case3_0014,upcountry_normal,2025,5,468.6,10.8
case3_0014,upcountry_normal,2025,6,494.3,10.9
case3_0014,upcountry_normal,2025,7,498.3,6.9
case3_0014,upcountry_normal,2025,8,415.9,6.0
case3_0014,upcountry_normal,2025,9,410.2,5.7
case3_0014,upcountry_normal,2025,10,369.3,6.3
case3_0014,upcountry_normal,2025,11,247.9,5.3
case3_0014,upcountry_normal,2025,12,286.5,5.6
case3_0014,upcountry_normal,2026,1,313.3,6.5
case3_0014,upcountry_normal,2026,2,317.3,5.8
case3_0014,upcountry_normal,2026,3,407.0,6.1
case3_0014,upcountry_normal,2026,4,620.2,7.1
case3_0014,upcountry_normal,2026,5,612.1,7.0
case3_0014,upcountry_normal,2026,6,516.5,6.0
case3_0014,upcountry_normal,2026,7,494.5,5.2
case3_0014,upcountry_normal,2026,8,532.3,5.9
case3_0015,upcountry_normal,2024,3,289.0,16.1
case3_0015,upcountry_normal,2024,4,380.7,18.1
case3_0015,upcountry_normal,2024,5,327.1,18.2
case3_0015,upcountry_normal,2024,6,354.3,16.5
case3_0015,upcountry_normal,2024,7,302.9,16.5
case3_0015,upcountry_normal,2024,8,299.9,19.9
case3_0015,upcountry_normal,2024,9,300.6,16.8
case3_0015,upcountry_normal,2024,10,292.0,15.6
case3_0015,upcountry_normal,2024,11,237.0,15.3
case3_0015,upcountry_normal,2024,12,225.0,13.7
case3_0015,upcountry_normal,2025,1,211.6,13.9
case3_0015,upcountry_normal,2025,2,216.7,12.5
case3_0015,upcountry_normal,2025,3,298.0,15.7
case3_0015,upcountry_normal,2025,4,343.0,16.4
case3_0015,upcountry_normal,2025,5,341.9,13.9
case3_0015,upcountry_normal,2025,6,322.2,17.2
case3_0015,upcountry_normal,2025,7,325.7,18.5
case3_0015,upcountry_normal,2025,8,260.0,17.1
case3_0015,upcountry_normal,2025,9,240.9,19.9
case3_0015,upcountry_normal,2025,10,197.7,14.5
case3_0015,upcountry_normal,2025,11,204.4,12.2
case3_0015,upcountry_normal,2025,12,196.5,14.2
case3_0015,upcountry_normal,2026,1,201.7,16.1
case3_0015,upcountry_normal,2026,2,165.6,15.1
case3_0015,upcountry_normal,2026,3,278.0,16.0
case3_0015,upcountry_normal,2026,4,361.7,16.3
case3_0015,upcountry_normal,2026,5,386.9,20.8
case3_0015,upcountry_normal,2026,6,388.9,17.7
case3_0015,upcountry_normal,2026,7,345.2,18.6
case3_0015,upcountry_normal,2026,8,314.9,18.0
case3_0016,upcountry_normal,2024,3,157.4,9.1
case3_0016,upcountry_normal,2024,4,181.0,9.1
case3_0016,upcountry_normal,2024,5,184.9,10.8
case3_0016,upcountry_normal,2024,6,172.3,9.7
case3_0016,upcountry_normal,2024,7,198.2,8.3
case3_0016,upcountry_normal,2024,8,198.7,7.5
case3_0016,upcountry_normal,2024,9,173.6,8.9
case3_0016,upcountry_normal,2024,10,177.0,5.6
case3_0016,upcountry_normal,2024,11,175.6,6.3
case3_0016,upcountry_normal,2024,12,185.4,8.4
case3_0016,upcountry_normal,2025,1,157.1,7.5
case3_0016,upcountry_normal,2025,2,182.7,7.8
case3_0016,upcountry_normal,2025,3,156.7,8.2
case3_0016,upcountry_normal,2025,4,149.0,9.4
case3_0016,upcountry_normal,2025,5,172.1,8.2
case3_0016,upcountry_normal,2025,6,151.2,8.5
case3_0016,upcountry_normal,2025,7,185.7,9.5
case3_0016,upcountry_normal,2025,8,138.1,8.6
case3_0016,upcountry_normal,2025,9,151.7,8.4
case3_0016,upcountry_normal,2025,10,162.0,8.9
case3_0016,upcountry_normal,2025,11,124.3,8.2
case3_0016,upcountry_normal,2025,12,153.6,7.7
case3_0016,upcountry_normal,2026,1,126.7,6.8
case3_0016,upcountry_normal,2026,2,143.3,6.3
case3_0016,upcountry_normal,2026,3,156.0,7.9
case3_0016,upcountry_normal,2026,4,166.5,8.9
case3_0016,upcountry_normal,2026,5,174.1,10.3
case3_0016,upcountry_normal,2026,6,174.3,11.7
case3_0016,upcountry_normal,2026,7,148.0,10.8
case3_0016,upcountry_normal,2026,8,137.1,8.6
case3_0017,upcountry_normal,2024,3,331.5,11.0
case3_0017,upcountry_normal,2024,4,363.6,10.9
case3_0017,upcountry_normal,2024,5,377.5,10.6
case3_0017,upcountry_normal,2024,6,360.2,10.2
case3_0017,upcountry_normal,2024,7,377.8,9.0
case3_0017,upcountry_normal,2024,8,294.0,9.1
case3_0017,upcountry_normal,2024,9,345.4,9.1
